Restaurant ID,Restaurant Name,City,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating text,Votes
6317637,Le Petit Souffle,Makati City,121.027535,14.565443,"French, Japanese, Desserts",1100,Botswana Pula(P),Yes,No,No,3,4.8,Excellent,314
6304287,Izakaya Kikufuji,Makati City,121.014101,14.553708,Japanese,1200,Botswana Pula(P),Yes,No,No,3,4.5,Excellent,591
6300002,Heat - Edsa Shangri-La,Mandaluyong City,121.056831,14.581404,"Seafood, Asian, Filipino, Indian",4000,Botswana Pula(P),Yes,No,No,4,4.4,Very Good,270
6318506,Ooma,Mandaluyong City,121.056475,14.585318,"Japanese, Sushi",1500,Botswana Pula(P),No,No,No,4,4.9,Excellent,365
6314302,Sambo Kojin,Mandaluyong City,121.057508,14.58445,"Japanese, Korean",1500,Botswana Pula(P),Yes,No,No,4,4.8,Excellent,229
18189371,Din Tai Fung,Mandaluyong City,121.056314,14.583764,Chinese,1000,Botswana Pula(P),,No,No,3,4.4,Very Good,336
6300781,Buffet 101,Pasay City,120.9796667,14.53133333,"Asian, European",2000,Botswana Pula(P),Yes,No,No,4,4,Very Good,520
6301290,Vikings,Pasay City,120.9793333,14.54,"Seafood, Filipino, Asian, European",2000,Botswana Pula(P),Yes,No,No,4,4.2,Very Good,677
6300010,Spiral - Sofitel Philippine Plaza Manila,Pasay City,120.98009,14.55299,"European, Asian, Indian",6000,Botswana Pula(P),Yes,No,No,4,4.9,Excellent,621
6314987,Locavore,Pasig City,121.056532,14.572041,Filipino,1100,Botswana Pula(P),Yes,No,No,3,4.8,Excellent,532
6309903,Silantro Fil-Mex,Pasig City,121.057916,14.567689,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,3,4.9,Excellent,1070
6309455,Mad Mark's Creamery & Good Eats,Pasig City,121.06082,14.570849,"American, Ice Cream, Desserts",900,Botswana Pula(P),Yes,No,No,3,4.2,Very Good,488
6318433,Silantro Fil-Mex,Quezon City,121.075419,14.649503,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,3,4.8,Excellent,294
6310470,Guevarra's,San Juan City,121.0335917,14.59345,Filipino,1000,Botswana Pula(P),Yes,No,No,3,4.2,Very Good,458
6314605,Sodam Korean Restaurant,San Juan City,121.03811,14.59889,Korean,700,Botswana Pula(P),No,No,No,3,4.3,Very Good,223
18185059,Cafe Arabelle,Santa Rosa,121.05704,14.237082,"Cafe, American, Italian, Filipino",800,Botswana Pula(P),,No,No,3,3.6,Good,29
18182702,Nonna's Pasta & Pizzeria,Santa Rosa,121.0565874,14.23767897,"Italian, Pizza",850,Botswana Pula(P),No,No,No,3,4,Very Good,72
6318213,Balay Dako,Tagaytay City,120.951589,14.101834,Filipino,1200,Botswana Pula(P),Yes,No,No,3,4.5,Excellent,211
18255654,Hobing Korean Dessert Cafe,Taguig City,121.045878,14.55436,"Cafe, Korean, Desserts",600,Botswana Pula(P),No,No,No,2,4.5,Excellent,118
6308205,Wildflour Cafe + Bakery,Taguig City,121.04622,14.549337,"Cafe, Bakery, American, Italian",1500,Botswana Pula(P),Yes,No,No,4,4.4,Very Good,392
6315438,NIU by Vikings,Taguig City,121.053725,14.545858,"Seafood, American, Mediterranean, Japanese",3000,Botswana Pula(P),Yes,No,No,4,4.7,Excellent,535
6310406,The Food Hall by Todd English,Taguig City,121.0534998,14.54565535,"American, Asian, Italian, Seafood",1800,Botswana Pula(P),Yes,No,No,4,4.5,Excellent,618
6600681,Chez Michou,Bras�_lia,-47.88178889,-15.76414167,"Fast Food, French",55,Brazilian Real(R$),No,No,No,2,3,Average,6
6601005,Caf�� Daniel Briand,Bras�_lia,-47.88266667,-15.7775,Cafe,30,Brazilian Real(R$),No,No,No,1,3.8,Good,9
6600292,Casa do Biscoito Mineiro,Bras�_lia,-47.88213611,-15.75747222,Bakery,45,Brazilian Real(R$),No,No,No,2,3.7,Good,11
6600441,Maori,Bras�_lia,-47.88816667,-15.75883333,Brazilian,60,Brazilian Real(R$),No,No,No,3,3.8,Good,11
6600970,Pizza �� Bessa,Bras�_lia,-47.91566667,-15.83116667,Pizza,50,Brazilian Real(R$),No,No,No,2,3.2,Average,11
6600379,Sushi Loko,Bras�_lia,-47.91566667,-15.831,Japanese,80,Brazilian Real(R$),No,No,No,3,3.1,Average,10
6600214,Beirute,Bras�_lia,-47.9075,-15.82,Arabian,90,Brazilian Real(R$),No,No,No,3,3.7,Good,8
6601218,New Koto,Bras�_lia,-47.91016667,-15.82733333,Japanese,200,Brazilian Real(R$),No,No,No,4,3.7,Good,5
6600060,Sandubas Caf��,Bras�_lia,-47.89016667,-15.797,"Brazilian, Cafe",30,Brazilian Real(R$),No,No,No,1,0,Not rated,2
6600083,Villa Tevere,Bras�_lia,-47.92366667,-15.83133333,Italian,150,Brazilian Real(R$),No,No,No,4,4.1,Very Good,12
6601515,Rovereto,Bras�_lia,-48.019,-15.83716667,Pizza,100,Brazilian Real(R$),No,No,No,4,3.1,Average,9
6601361,Buena Carne,Bras�_lia,-48.01909167,-15.839775,"Bar Food, Brazilian",60,Brazilian Real(R$),No,No,No,3,3.6,Good,9
6601602,Taco Pep,Bras�_lia,-48.01666667,-15.83483333,"Mexican, Grill",100,Brazilian Real(R$),No,No,No,4,4.3,Very Good,29
6601589,Coco Bambu,Bras�_lia,-47.889,-15.7865,International,230,Brazilian Real(R$),No,No,No,4,4.2,Very Good,17
6601862,Tayp��,Bras�_lia,-47.872359,-15.860621,"Peruvian, Latin American",100,Brazilian Real(R$),No,No,No,4,3.6,Good,5
6601595,Outback Steakhouse,Bras�_lia,-47.95628333,-15.83451389,"American, Grill",150,Brazilian Real(R$),No,No,No,4,4,Very Good,10
6601158,Manzu��,Bras�_lia,-47.87283333,-15.82566667,Seafood,240,Brazilian Real(R$),No,No,No,4,3.2,Average,6
6600427,Coco Bambu,Bras�_lia,-47.8685,-15.819,International,230,Brazilian Real(R$),No,No,No,4,4.9,Excellent,30
6600116,Gero,Bras�_lia,-47.885812,-15.720118,Italian,350,Brazilian Real(R$),No,No,No,4,3.3,Average,8
6601457,Brazilian American Burgers,Bras�_lia,-47.92102778,-15.79753056,"American, Burger",50,Brazilian Real(R$),No,No,No,2,3.6,Good,9
7303219,Pesqueiro Eco Gourmet,Rio de Janeiro,-43.377,-23.0115,"Seafood, Bar Food, Brazilian",140,Brazilian Real(R$),No,No,No,4,4,Very Good,7
7304307,Confeitaria Colombo,Rio de Janeiro,-43.178826,-22.905293,"Desserts, Cafe",100,Brazilian Real(R$),No,No,No,4,4.8,Excellent,29
7301215,Bibi,Rio de Janeiro,-43.18669167,-22.97207222,"Juices, Healthy Food",60,Brazilian Real(R$),No,No,No,3,4.7,Excellent,24
7300596,Cervantes,Rio de Janeiro,-43.17583333,-22.96216667,"Beverages, Bar Food, Fast Food",90,Brazilian Real(R$),No,No,No,3,4.5,Excellent,29
7300612,Amir,Rio de Janeiro,-43.176,-22.96516667,Lebanese,170,Brazilian Real(R$),No,No,No,4,4.2,Very Good,11
7300704,TT Burger,Rio de Janeiro,-43.191,-22.98683333,Burger,60,Brazilian Real(R$),No,No,No,3,4.8,Excellent,19
7300955,Braseiro da G��vea,Rio de Janeiro,-43.227042,-22.973507,"Brazilian, Bar Food",100,Brazilian Real(R$),No,No,No,4,4.9,Excellent,40
7300521,Balada Mix,Rio de Janeiro,-43.211425,-22.98520833,"Brazilian, Healthy Food, Juices, Pizza",90,Brazilian Real(R$),No,No,No,3,4.6,Excellent,21
7300515,Garota de Ipanema,Rio de Janeiro,-43.203,-22.98533333,"Brazilian, Bar Food",120,Brazilian Real(R$),No,No,No,4,4.9,Excellent,49
7300483,Zaz�� Bistr�� Tropical,Rio de Janeiro,-43.20520833,-22.98531944,Brazilian,170,Brazilian Real(R$),No,No,No,4,4.6,Excellent,21
7301064,Fil�� de Ouro,Rio de Janeiro,-43.219563,-22.966647,Brazilian,90,Brazilian Real(R$),No,No,No,3,4.3,Very Good,14
7304312,D.O.C Ristorante,Rio de Janeiro,-43.34879167,-22.99991111,Italian,150,Brazilian Real(R$),No,No,No,4,4,Very Good,5
7300004,Sushi Leblon,Rio de Janeiro,-43.227,-22.98416667,Japanese,250,Brazilian Real(R$),No,No,No,4,4.6,Excellent,25
7300868,Talho Capixaba,Rio de Janeiro,-43.22566667,-22.98516667,"Bakery, Sandwich, Brazilian",120,Brazilian Real(R$),,No,No,4,4.4,Very Good,13
7302637,Leme Light,Rio de Janeiro,-43.17279167,-22.963925,Brazilian,40,Brazilian Real(R$),No,No,No,2,4.2,Very Good,7
7302140,Shirley,Rio de Janeiro,-43.17126389,-22.96337222,"Brazilian, Seafood",250,Brazilian Real(R$),No,No,No,4,4.2,Very Good,8
7305048,Quiosque Chopp Brahma,Rio de Janeiro,-43.341164,-22.870413,"Bar Food, Brazilian",70,Brazilian Real(R$),No,No,No,3,0,Not rated,1
7302898,Apraz�_vel,Rio de Janeiro,-43.18736944,-22.92481389,Brazilian,300,Brazilian Real(R$),No,No,No,4,4.7,Excellent,44
7302859,Aconchego Carioca,Rio de Janeiro,-43.21551111,-22.91370833,"Brazilian, Bar Food",85,Brazilian Real(R$),No,No,No,3,4.6,Excellent,24
7301700,Garota de Ipanema,Rio de Janeiro,-43.16266667,-22.94783333,"Brazilian, Bar Food",80,Brazilian Real(R$),No,No,No,3,4.3,Very Good,10
6706313,Cantina Famiglia Mancini,S��o Paulo,-46.64516667,-23.55066667,"Italian, Pizza",250,Brazilian Real(R$),No,No,No,4,4.5,Excellent,49
6704326,Templo da Carne - Marcos Bassi,S��o Paulo,-46.64633333,-23.559,"Steak, BBQ",250,Brazilian Real(R$),No,No,No,4,4.4,Very Good,17
6711179,Gopala Hari,S��o Paulo,-46.65866667,-23.55616667,Indian,70,Brazilian Real(R$),No,No,No,3,3.1,Average,5
6702797,Jiquitaia,S��o Paulo,-46.657523,-23.55671,Brazilian,100,Brazilian Real(R$),No,No,No,4,4.1,Very Good,15
6700475,Skye - Hotel Unique,S��o Paulo,-46.666851,-23.581688,"Beverages, International",300,Brazilian Real(R$),No,No,No,4,4.8,Excellent,59
6713413,Les 3 Brasseurs,S��o Paulo,-46.67511,-23.582135,"French, Brazilian, Beverages",120,Brazilian Real(R$),No,No,No,4,4.6,Excellent,30
6714340,Red Steak & Burger,S��o Paulo,-46.683888,-23.585324,"Brazilian, Grill",75,Brazilian Real(R$),No,No,No,3,3.9,Good,5
6710645,Cantinho da Gula,S��o Paulo,-46.67566667,-23.581,Brazilian,55,Brazilian Real(R$),No,No,No,2,0,Not rated,0
6700402,Paris 6 Classique,S��o Paulo,-46.666041,-23.561568,French,200,Brazilian Real(R$),No,No,No,4,3.4,Average,73
6700846,Kawa Sushi,S��o Paulo,-46.657418,-23.571638,"Sushi, Japanese",120,Brazilian Real(R$),No,No,No,4,3.5,Good,9
6702159,A Figueira Rubaiyat,S��o Paulo,-46.66983333,-23.5655,"BBQ, Grill, Brazilian",300,Brazilian Real(R$),No,No,No,4,4.3,Very Good,39
6711666,Kinoshita,S��o Paulo,-46.67133333,-23.59233333,Sushi,230,Brazilian Real(R$),No,No,No,4,3.9,Good,12
6701257,Meats,S��o Paulo,-46.68133333,-23.56483333,"Gourmet Fast Food, Burger",120,Brazilian Real(R$),No,No,No,4,4.3,Very Good,68
6706211,Paribar,S��o Paulo,-46.64159444,-23.54664167,"Brazilian, Italian",150,Brazilian Real(R$),No,No,No,4,4.3,Very Good,46
6705858,Terra�_o It��lia,S��o Paulo,-46.643425,-23.545163,Italian,400,Brazilian Real(R$),No,No,No,4,4.4,Very Good,37
6701419,Divino Fog��o,S��o Paulo,-46.63716667,-23.5995,"Brazilian, Mineira",65,Brazilian Real(R$),No,No,No,3,0,Not rated,2
6703956,Super Grill,S��o Paulo,-46.698574,-23.622925,Brazilian,50,Brazilian Real(R$),No,No,No,2,0,Not rated,2
6709580,Esquina Mocot�_,S��o Paulo,-46.581672,-23.486535,"Brazilian, North Eastern",100,Brazilian Real(R$),No,No,No,4,4.4,Very Good,22
6703176,Veloso,S��o Paulo,-46.63566667,-23.58516667,"Brazilian, Bar Food, Beverages",70,Brazilian Real(R$),No,No,No,3,4.6,Excellent,58
6713772,Sainte Marie Gastronomia,S��o Paulo,-46.746958,-23.609207,"Lebanese, Arabian",120,Brazilian Real(R$),No,No,No,4,4.1,Very Good,11
17284404,Austin's BBQ and Oyster Bar,Albany,-84.221535,31.610387,"BBQ, Burger, Seafood",25,Dollar($),No,No,No,2,3.3,Average,35
17284203,BJ's Country Buffet,Albany,-84.207095,31.608743,"American, BBQ",10,Dollar($),No,No,No,1,3.3,Average,25
17284105,Cookie Shoppe,Albany,-84.154,31.5772,,0,Dollar($),No,No,No,1,3.4,Average,34
17284302,El Vaquero Mexican Restaurant,Albany,-84.2194,31.6158,Mexican,0,Dollar($),No,No,No,1,3.4,Average,45
17284397,Elements Coffee Co - Northwest,Albany,-84.206944,31.622412,"Coffee and Tea, Sandwich",10,Dollar($),No,No,No,1,3.4,Average,26
17284211,Pearly's Famous Country Cookng,Albany,-84.1759,31.5882,,0,Dollar($),No,No,No,1,3.4,Average,36
17284094,Chick-fil-A,Albany,-84.2193,31.616,Fast Food,10,Dollar($),No,No,No,1,3.5,Good,67
17284409,Guang Zhou Chinese Restaurant,Albany,-84.2091458,31.6155186,"Asian, Chinese, Vegetarian",10,Dollar($),No,No,No,1,3.9,Good,141
17284139,Harvest Moon,Albany,-84.205718,31.604905,"Pizza, Bar Food, Sandwich",25,Dollar($),No,No,No,2,3.7,Good,147
17284403,Henry Campbell's Steakhouse,Albany,-84.223278,31.612121,"Steak, Tapas, Bar Food",70,Dollar($),No,No,No,4,3.5,Good,51
17284145,Hong Kong Cafe,Albany,-84.2191,31.6156,"Chinese, Seafood, Vegetarian",25,Dollar($),No,No,No,2,3.6,Good,88
17284150,House of China Restaurant II,Albany,-84.212,31.6104,Chinese,10,Dollar($),No,No,No,1,3.8,Good,153
17284158,Jimmie's Hot Dogs,Albany,-84.1534,31.5751,,10,Dollar($),No,No,No,1,3.9,Good,160
17284175,Locos Grill & Pub,Albany,-84.2228,31.6077,"American, Burger, Sandwich",25,Dollar($),No,No,No,2,3.5,Good,57
17284179,Longhorn Steakhouse,Albany,-84.2229,31.6185,"American, Steak",25,Dollar($),No,No,No,2,3.5,Good,58
17284197,Mikata Japanese Steakhouse,Albany,-84.2164,31.6137,"Japanese, Steak, Sushi",40,Dollar($),No,No,No,3,3.6,Good,115
17284241,Shogun Japanese Steak House,Albany,-84.2233,31.6118,"Japanese, Steak, Sushi",40,Dollar($),No,No,No,3,3.5,Good,51
17284390,The Catch Seafood Room & Oyster Bar,Albany,-84.205025,31.605882,"Seafood, Tapas, Bar Food",40,Dollar($),No,No,No,3,3.8,Good,250
17284279,Villa Gargano,Albany,-84.1757,31.5985,"Italian, Pizza",10,Dollar($),No,No,No,1,3.7,Good,117
17284364,3 Squares Diner,Albany,-83.8389,31.5308,"American, Breakfast, Diner",10,Dollar($),No,No,No,1,3.4,Average,20
16611114,Whitebull Hotel,Armidale,151.6688792,-30.5147169,"Bar Food, Steak",20,Dollar($),No,No,No,2,3.5,Good,25
17293281,Last Resort Grill,Athens,-83.378273,33.957999,"American, Southern, Southwestern",40,Dollar($),No,No,No,3,4.5,Excellent,1821
17293301,Mama's Boy Restaurant,Athens,-83.3654,33.9535,Southern,10,Dollar($),No,No,No,1,4.5,Excellent,849
17293409,Sr. Sol 1,Athens,-83.4293,33.9652,Mexican,10,Dollar($),No,No,No,1,4.6,Excellent,917
17293163,Choo Choo Eastside,Athens,-83.3389,33.9259,"Japanese, Korean",10,Dollar($),No,No,No,1,3.9,Good,439
17293228,The Grill,Athens,-83.375523,33.958198,"Breakfast, Burger, Sandwich",10,Dollar($),No,No,No,1,3.7,Good,289
17293880,Big City Bread Cafe,Athens,-83.384004,33.959392,"Breakfast, Sandwich",10,Dollar($),No,No,No,1,4.3,Very Good,558
17293169,Clocked,Athens,-83.3797,33.9584,"American, Burger, Sandwich",10,Dollar($),No,No,No,1,4.2,Very Good,613
17293186,DePalma's Italian Cafe - Downtown,Athens,-83.373596,33.958112,"American, Italian, Pizza",25,Dollar($),No,No,No,2,4,Very Good,353
17293180,DePalma's Italian Cafe - East Side,Athens,-83.33995,33.924275,"American, Italian, Pizza",25,Dollar($),No,No,No,2,4.1,Very Good,387
17293205,Five & Ten,Athens,-83.3872482,33.9415545,American,40,Dollar($),No,No,No,3,4.3,Very Good,755
17293229,Grit,Athens,-83.381625,33.960112,"International, Southern, Vegetarian",10,Dollar($),No,No,No,1,4.2,Very Good,800
17293897,Ike & Jane,Athens,-83.400887,33.963296,Sandwich,10,Dollar($),No,No,No,1,4.1,Very Good,350
17293273,La Dolce Vita Ristorante,Athens,-83.4075,33.9584,Italian,40,Dollar($),No,No,No,3,4.1,Very Good,464
17293870,Shokitini,Athens,-83.379251,33.957503,"Asian, Japanese, Sushi",25,Dollar($),No,No,No,2,4.2,Very Good,550
17293877,Taqueria Del Sol,Athens,-83.383605,33.960571,"Mexican, Spanish",10,Dollar($),No,No,No,1,4.1,Very Good,543
17293890,The National,Athens,-83.37967,33.959468,"International, Southern",40,Dollar($),No,No,No,3,4.1,Very Good,465
17293915,The Royal Peasant,Athens,-83.38728,33.937502,Bar Food,10,Dollar($),No,No,No,1,4.4,Very Good,546
17293422,Transmetropolitan,Athens,-83.3764,33.9584,"Italian, Pizza, Sandwich",10,Dollar($),No,No,No,1,4.4,Very Good,1098
17293873,Trappeze Pub,Athens,-83.378881,33.958363,"Burger, Bar Food",25,Dollar($),No,No,No,2,4.2,Very Good,579
17294014,Viva! Argentine Cuisine,Athens,-83.3828224,33.9600227,"Desserts, Latin American, Argentine",10,Dollar($),No,No,No,1,4.1,Very Good,374
17294556,Miyabi Kyoto Japanese Steak House,Augusta,-82.0865,33.4721,"Chinese, Steak",40,Dollar($),No,No,No,3,4.6,Excellent,717
17294607,Rae's Coastal Cafe,Augusta,-82.0698,33.4791,"American, Caribbean, Seafood",40,Dollar($),No,No,No,3,4.9,Excellent,548
17294279,The Bee's Knees,Augusta,-81.97,33.4765,"International, Tapas, Vegetarian",25,Dollar($),No,No,No,2,4.5,Excellent,631
17294300,Boll Weevil Cafe,Augusta,-81.9684,33.474,"Desserts, Sandwich, Southern",10,Dollar($),No,No,No,1,3.9,Good,372
17295215,Farmhaus Burger,Augusta,-81.973006,33.477444,"American, Burger",25,Dollar($),No,No,No,2,3.9,Good,201
17295028,Manuel's Bread Cafe,Augusta,-81.965571,33.481779,"Breakfast, French",40,Dollar($),No,No,No,3,3.8,Good,332
17294642,Sconyers Bar B Que,Augusta,-82.0327,33.4086,BBQ,25,Dollar($),No,No,No,2,3.5,Good,304
17295109,Frog Hollow Tavern,Augusta,-81.974944,33.478231,American,40,Dollar($),No,No,No,3,4.3,Very Good,368
17294441,Giuseppe's Pizza & Italian Specialities,Augusta,-82.096,33.4827,"Desserts, Italian, Pizza",25,Dollar($),No,No,No,2,4.1,Very Good,430
17294552,Mellow Mushroom,Augusta,-81.9721,33.4778,"Italian, Pizza, Sandwich",25,Dollar($),No,No,No,2,4.4,Very Good,433
17294565,Nacho Mamas Burritos,Augusta,-81.9694,33.4764,Mexican,10,Dollar($),No,No,No,1,4,Very Good,380
17294623,Rhinehart's Oyster Bar,Augusta,-82.0505,33.5133,"Bar Food, Sandwich, Seafood",25,Dollar($),No,No,No,2,4,Very Good,456
17294712,Takosushi,Augusta,-82.0301,33.4848,"Mexican, Southwestern, Sushi",40,Dollar($),No,No,No,3,4.2,Very Good,647
17295033,The Chop House,Augusta,-82.080788,33.467201,Steak,40,Dollar($),,No,No,3,4,Very Good,360
17295069,The Taj of India,Augusta,-82.0805493,33.5375868,Indian,25,Dollar($),No,No,No,2,4,Very Good,227
17294261,Augsburg Haus,Augusta,-82.143793,33.544342,German,25,Dollar($),No,No,No,2,3.9,Good,290
17295115,Pho Bac,Augusta,-82.126161,33.532249,Vietnamese,10,Dollar($),No,No,No,1,4.1,Very Good,270
17294836,Rhinehart's Oyster Bar,Augusta,-82.141284,33.521291,"Burger, Seafood",25,Dollar($),No,No,No,2,4,Very Good,326
17294850,Thai Kitchen,Augusta,-82.1328,33.5406,Thai,35,Dollar($),No,No,No,3,4.3,Very Good,317
17294883,El Kiosco Mexican Restaurant,Augusta,-82.1997,33.4574,Mexican,10,Dollar($),No,No,No,1,4.2,Very Good,300
16608864,Taste of Balingup,Balingup,115.9844924,-33.7845269,Modern Australian,20,Dollar($),No,No,No,2,3.2,Average,21
